Entity Name,Street,"City, State, ZIP Code",Column5,Column2,Column6,Column7,Address,Latitude,Longitude
God's Provision #3,1547 Islip Ave.,"Central Islip, NY 11722",631-790-3820,,,,"1547 Islip Ave., Central Islip, NY 11722",40.780173,-73.216529
God's Provision #16 @ True Ministries,"53 Carleton Ave,","Central Islip, NY 11722",631-609-0134,,,,"53 Carleton Ave,, Central Islip, NY 11722",40.7886807,-73.2018422
Holy Church of Christ,41 Sage St.,"Central Islip, NY 11722",631-234-6799,,,,"41 Sage St., Central Islip, NY 11722",40.7855573,-73.214113
Inglesia de dios Pentacostal,312 Suffolk Ave.,"Central Islip, NY 11722",631-475-2479,,,,"312 Suffolk Ave., Central Islip, NY 11722",40.7960332,-73.1781524
Lighthouse Mission Mobile Food Pantry,1 Carleton Ave.,"Central Islip, NY 11722",,,,,"1 Carleton Ave., Central Islip, NY 11722",40.78982,-73.2024519
Light One's Heart Foundation Food Pantry,238 Poplar St.,"Central Islip, NY 11722",631-581-7665,,,,"238 Poplar St., Central Islip, NY 11722",40.7579063,-73.2040095
Outside the Camp Ministries,23 Chestnut St.,"Central Islip, NY 11722",631-232-3550,,,,"23 Chestnut St., Central Islip, NY 11722",40.7648411,-73.2084247
St. John of God,84 Carleton Ave.,"Central Islip, NY 11722",631-234-1884,,,,"84 Carleton Ave., Central Islip, NY 11722",40.786617,-73.2005555
Noah's Ark FP @ Full Gospel Christian Church,2675 Great Neck Rd.,"Copiague, NY 11726",516-541-0559,,,,"2675 Great Neck Rd., Copiague, NY 11726",40.6894881,-73.4030111
Our Lady of Assumption Outreach,115 Leonardo Da Vinci,"Copiague, NY 11726",631-842-5264,,,,"115 Leonardo Da Vinci, Copiague, NY 11726",40.6825955,-73.404001
St. John's The Baptist Church,15 Bethpage Rd.,"Copiague, NY 11726",631-842-7943,,,,"15 Bethpage Rd., Copiague, NY 11726",40.6930664,-73.4007319
Zion Gospel Church,90 Warren St.,"Copiague, NY 11726",631-842-7309,,,,"90 Warren St., Copiague, NY 11726",40.6996943,-73.4055435
Faith Baptist Church Food Pantry,11 Teller Ave.,"Coram, NY 11727",631-732-1133,,,,"11 Teller Ave., Coram, NY 11727",40.8607119,-72.9796194
Gordon Heights SDA Food Pantry,21 Teller Ave.,"Coram, NY 11727",631-698-0912,,,,"21 Teller Ave., Coram, NY 11727",40.8607941,-72.9807958
Lighthouse Mission Mobile Food Pantry,79 Middle Country Rd.,"Coram, NY 11727",,,,,"79 Middle Country Rd., Coram, NY 11727",40.8743044,-72.9815808
New Beginnings Christian Center,241 Middle Country Rd.,"Coram, NY 11727",631-736-7000,,,,"241 Middle Country Rd., Coram, NY 11727",40.8724469,-72.993382
St. Francis Cabrini,134 Middle Country Rd.,"Coram, NY 11727",631-736-6835,,,,"134 Middle Country Rd., Coram, NY 11727",40.8722591,-72.9869785
The Ministries,3680 Route 112,"Coram, NY 11727",631-736-4800,,,,"3680 Route 112, Coram, NY 11727",40.8652555,-72.9996164
WellLife Network,3600 Route 112,"Coram, NY 11727",631-920-8302,,,,"3600 Route 112, Coram, NY 11727",40.8589719,-72.999017
God's Provision #17,87 Tell Ave.,"Deer Park, NY 11729",631-790-3820,,,,"87 Tell Ave., Deer Park, NY 11729",40.751544,-73.3163611
Hope Community Ministries,64 Tiber Ave.,"Deer Park, NY 11729",631-392-4214,,,,"64 Tiber Ave., Deer Park, NY 11729",40.7497236,-73.3087505
RPPT,66 E. Jeffryn Blvd.,"Deer Park, NY 11729",631-940-7186,,,,"66 E. Jeffryn Blvd., Deer Park, NY 11729",40.7567901,-73.2983728
Faith Ministries,3 Penn Ct.,"Dix Hills, NY 11746",631-423-4511,,,,"3 Penn Ct., Dix Hills, NY 11746",40.7873691,-73.3880691
Mercy House at Upper Room Ministries,722 Deer Park Ave.,"Dix Hills, NY 11746",631-242-5359,,,,"722 Deer Park Ave., Dix Hills, NY 11746",40.7837217,-73.3371671
East Hampton Food Pantry,219-50 Accabonac Rd.,"East Hampton, NY 11937 ",,,,,"219-50 Accabonac Rd., East Hampton, NY 11937 ",40.9786654,-72.1709056
East Hampton Food Pantry,159 Pantigo Rd.,"East Hampton, NY 11937 ",631-324-2300,,,,"159 Pantigo Rd., East Hampton, NY 11937 ",40.9682391,-72.172049
Springs Community Presbyterian Church,5 Old Stone Hwy,"East Hampton, NY 11937", 631-324-4791,,,,"5 Old Stone Hwy, East Hampton, NY 11937",41.0214,-72.156191
"East Islip
St. Mary's Parish Social Ministry Outreach",20 Harrison Ave.,"East Islip, NY 11730",631-581-4266,,,,"20 Harrison Ave., East Islip, NY 11730",40.7298926,-73.1961116
Column1,Column2,Column3,Column4,Column5,,,,,
St. Anthony of Padua,1025 Fifth Ave.,"East Northport, NY 11731",516-449-2717,,,,"1025 Fifth Ave., East Northport, NY 11731",40.8737122,-73.3210364
Manna Ministries,782 Larkfield Rd.,"East Northport, NY 11731",631-334-1612,,,,"782 Larkfield Rd., East Northport, NY 11731",40.8359382,-73.3123305
God's Provision #14,560 Montauk Hwy,"East Quogue, NY 11942",631-721-8244,,,,"560 Montauk Hwy, East Quogue, NY 11942",40.8420653,-72.5805634
"St. Rosalie's RC Church
(services: East Quogue, Flanders, Hampton Bays)",Montauk Hwy,"East Quogue, NY 11942",631-728-9461,,,,"Montauk Hwy, East Quogue, NY 11942",40.8468842,-72.5783132
Hope for the Future Food Pantry,131 Verdi St.,"Farmindale, NY 11735",631-752-5771,,,,"131 Verdi St., Farmindale, NY 11735",40.7132143,-73.4172384
Church of the Resurrection,50 Granny Rd.,"Farmingville, NY 11738",631-696-0232,,,,"50 Granny Rd., Farmingville, NY 11738",40.8318264,-73.0254463
St. Francis of Assisi - St. Vincent de Paul,29 North Gate Dr.,"Greenlawn, NY 11740",631-651-2655,,,,"29 North Gate Dr., Greenlawn, NY 11740",40.862049,-73.3582021
C.A.S.T. (Community Action Southold,316 Front St.,"Greenport, NY 11944",631-477-1717,,,,"316 Front St., Greenport, NY 11944",41.1017079,-72.3637398
North Fork Parish Outreach @ St. Agnes Church,532 6th Ave.,"Greenport, NY 11944",631-765-4037,,,,"532 6th Ave., Greenport, NY 11944",41.1033849,-72.3672309
St. Rosalie's RC Church,31 E. Montauk Hwy,"Hampton Bays, NY 11946",631-728-9461,,,,"31 E. Montauk Hwy, Hampton Bays, NY 11946",40.8790053,-72.5224742
"Long Island Cares Hunger Assistance & Humanitarian
center",286 West Montauk Hwy," Hampton Bays, NY 11946",,,,,"286 West Montauk Hwy,  Hampton Bays, NY 11946",40.8654422,-72.5516353
EAC Nutrition Services Food Pantry,60 Plant Ave.,"Hauppauge, NY 11788",631-822-3300,,,,"60 Plant Ave., Hauppauge, NY 11788",40.8137298,-73.2443775
LIC First Stop Pantry,10 Davids Dr.,"Hauppauge, NY 11788",631-385-2451,,,,"10 Davids Dr., Hauppauge, NY 11788",40.8194987,-73.2572964
St. Thomas More RC Church Parish Outreach,115 Kings Hwy,"Hauppauge, NY 11788",631-234-3149,,,,"115 Kings Hwy, Hauppauge, NY 11788",40.8148109,-73.2236671
Abundant Life Church,440 Furrows Rd.,"Holbrook, NY 11741",631-645-4262,,,,"440 Furrows Rd., Holbrook, NY 11741",40.8066005,-73.0689354
Calvary Chapel,1680 Railroad Ave.,"Holbrook, NY 11741",631-805-0884,,,,"1680 Railroad Ave., Holbrook, NY 11741",40.8097288,-73.0818007
Church of Good Shepherd,1370 Grundy Ave.,"Holbrook, NY 11741",631-585-4544,,,,"1370 Grundy Ave., Holbrook, NY 11741",40.8001937,-73.078988
St. John's Lutheran Church,1675 Coates Ave.,"Holbrook, NY 11741",631-588-6050,,,,"1675 Coates Ave., Holbrook, NY 11741",40.8097803,-73.0809938
Jesus is Lord Church,341 Long Island Ave.,"Holtsville, NY 11742",631-654-0009,,,,"341 Long Island Ave., Holtsville, NY 11742",40.8164955,-73.0208639
Bethel A.M.E / True Ministries,291 Park Ave.,"Huntington Sta.,NY 11746",631-549-5014,,,,"291 Park Ave., Huntington Sta.,NY 11746",40.8784645,-73.4177595
Church of St. Patrick Parish Social Ministry,400 Main St.,"Huntington, NY 11743",631-385-3311,,,,"400 Main St., Huntington, NY 11743",40.8696032,-73.4324315
Community Food Council,90 East 5th St.,"Huntington Sta.,NY 11746",631-351-1060,,,,"90 East 5th St., Huntington Sta.,NY 11746",40.8535585,-73.4013074
Helping Hands Rescue Mission,225 Broadway,"Huntington Sta.,NY 11746",631-351-6996,,,,"225 Broadway, Huntington Sta.,NY 11746",40.8564651,-73.4032456
"Joseph's Storehouse @ Gloria Dei Evangelical Lutheran
church",22 E. 18th St.,"Huntington Sta.,NY 11746",,,,,"22 E. 18th St., Huntington Sta.,NY 11746",40.8353151,-73.4096125
"Long Island Cares First Stop Pantry/Harry Chapin
Humanitarian Center",220 Broadway,"Huntington Sta.,NY 11746",631-824-6384,,,,"220 Broadway, Huntington Sta.,NY 11746",40.8558298,-73.4031492
St. Hugh of Lincoln,21 E. Ninth St.,"Huntington Sta.,NY 11746",631-271-8986,,,,"21 E. Ninth St., Huntington Sta.,NY 11746",40.8471975,-73.4111148
Tri-CYA,5 Lowndes Ave.,"Huntington Sta.,NY 11746",631-673-0614,,,,"5 Lowndes Ave., Huntington Sta.,NY 11746",40.8574531,-73.4166823
WellLife Network,55 Horizon Dr.,"Huntington, NY 11743",631-920-8088,,,,"55 Horizon Dr., Huntington, NY 11743",40.8580697,-73.4225613
Presbyterian Church of Islip,340 Main St.,"Islip, NY 11751",631-581-1080,,,,"340 Main St., Islip, NY 11751",40.727996,-73.2174189
Trinity Lutheran Church,111 Nassau Ave.,"Islip, NY 11751",631-277-1555,,,,"111 Nassau Ave., Islip, NY 11751",40.7334975,-73.2100962
United Methodist Church,350 Main St.,"Islip, NY 11751",631-581-7991,,,,"350 Main St., Islip, NY 11751",40.7282162,-73.2163129
St. Peter the Apostle Church,94 Valley Stream St.,"Islip Terrace, NY 11752",631-277-8488,,,,"94 Valley Stream St., Islip Terrace, NY 11752",40.758161,-73.1814869
United Methodist Church of Lake Ronkonkoma,792 Hawkins Ave,"Lake Grove, NY 11755",631-588-5856,,,,"792 Hawkins Ave, Lake Grove, NY 11755",40.8374434,-73.1112176
Column1,Column2,Column3,Column4,Column5,Column6,Column7,"Column2, Column3",,
Church of Elizabeth Ann Seton Parish Outreach,800 Portion Rd.,"Lake Ronkonkoma, NY 11779",631-737-4416,3 Tues./Thurs. 1:30-4:30,,,"800 Portion Rd., Lake Ronkonkoma, NY 11779",40.8324983,-73.0792905
United Methodist Church of Lake Ronkonkoma,792 Hawkins Ave.,"Lake Ronkonkoma, NY 11779",631-588-5856,"1st & 3rd Tuesdays of the
month 3pm - 5pm",,,"792 Hawkins Ave., Lake Ronkonkoma, NY 11779",40.8374434,-73.1112176
Lighthouse Mission,565 Portion Rd.,"Lake Ronkonkoma, NY 11779",631-758-7584,Mondays 12pm - 1pm,,,"565 Portion Rd., Lake Ronkonkoma, NY 11779",40.8307607,-73.094112
St. Mary's Episcopal Church,315 Lake Shore Rd.,"Lake Ronkonkoma, NY 11779",631-588-1888,Friday 10am - 12pm,,,"315 Lake Shore Rd., Lake Ronkonkoma, NY 11779",40.8320403,-73.1191738
Charlotte's Table,939 Johnson Ave.,"Ronkonkoma, NY 11779",631-471-7242,Weds. 2pm-7pm,& Veterans,,"939 Johnson Ave., Ronkonkoma, NY 11779",40.8083595,-73.1213986
St. Joseph's Church,25 Churck St.,"Ronkonkoma, NY 11779",631-981-6888,Call for an Appointment,,,"25 Churck St., Ronkonkoma, NY 11779",40.8175171,-73.1172125
Evangel Church of God,12 West John St.,"Lindenhurst, NY 11757",631-226-1679,Wednesday 6pm - 7:30pm,,,"12 West John St., Lindenhurst, NY 11757",40.6888769,-73.376153
Grace United Methodist Food Pantry,515 S. Wellwood Ave.,"Lindenhurst, NY 11757",631-226-8690,7pm - 8pm,,,"515 S. Wellwood Ave., Lindenhurst, NY 11757",40.6793488,-73.3658487
Heart of Worship,301 West Hoffman Ave.,"Lindenhurst, NY 11757",631-957-3819,Tuesdays 6am -7am,,,"301 West Hoffman Ave., Lindenhurst, NY 11757",40.6839987,-73.3819271
Long Island Cares South Shore Service Center,163-1 N. Wellwood Ave.,"Lindenhurst, NY 11757",631-991-8106,"Mon./Weds./Fri. 8am - 4pm &
Tues./Thurs. 9am - 5pm",,,"163-1 N. Wellwood Ave., Lindenhurst, NY 11757",40.6893386,-73.3759536
Our Lady of Perpetual Help,210 S. Wellwood Ave.,"Lindenhurst, NY 11757",631-226-7725,"Mon./Weds./Fri. 9am-12pm &
1st and 3rd Sat. 1:30pm - 3pm",,,"210 S. Wellwood Ave., Lindenhurst, NY 11757",40.6853509,-73.3707775
RCCG Prince of Peace,732 N. Wellwood Ave.,"Lindenhurst, NY 11757",347-757-3223,"Tues./Thurs./Sun. by
appointment",,,"732 N. Wellwood Ave., Lindenhurst, NY 11757",40.7052661,-73.3872403
St. John's Evangel Lutheran Church,36 East John St.,"Lindenhurst, NY 11757",631-226-1274,"Tues./Fri. 10am -11:30am &
Fri. 5pm - 6pm",,,"36 East John St., Lindenhurst, NY 11757",40.6896342,-73.3738666
Manorville Community Church,505 Eastport Manor Rd.,"Manorville, NY 11949",631-369-8805,Thursdays 6:30pm - 7:30pm,,,"505 Eastport Manor Rd., Manorville, NY 11949",40.8725472,-72.8044915
St. Peter & Paul,781 Wading River Rd.,"Manorville, NY 11949",631-369-7142,Thursdays 11am - 1pm,,,"781 Wading River Rd., Manorville, NY 11949",40.8717775,-72.8235989
Loaves & Fishes / Mattituck Presbyterian Church,12605 Main Rd.,"Mattituck, NY 11952",631-298-4145,Friday 10am - 12pm,,,"12605 Main Rd., Mattituck, NY 11952",40.9907726,-72.5344914
"NANA's House (Never Alone, Never Afraid)",14 Herkimer St.,"Mastic, NY 11950",631-874-9100,Mon. - Fri. 8am - 4pm,,,"14 Herkimer St., Mastic, NY 11950",40.8057251,-72.841159
Agape Community Church,342 Neighborhood Rd.,"Mastic Beach, NY 11951",,Thurs.7:30pm & Sat.10 - 12,,,"342 Neighborhood Rd., Mastic Beach, NY 11951",40.7626539,-72.855553
Mastic & Shirley Community Emergency Food Pantry,240 Mastic Rd.,"Mastic Beach, NY 11951",631-874-1912,"Mon. 3pm-7pm & Tues./Thurs.
9am -1pm",,,"240 Mastic Rd., Mastic Beach, NY 11951",40.7736363,-72.8522316
St. Jude's Parish Outreach,89 Overlook Rd.,"Mastic Beach, NY 11951",631-281-2634,Mon. - Thurs. 9am - 1pm,,,"89 Overlook Rd., Mastic Beach, NY 11951",40.7657858,-72.850671
Cornerstone Church of God,61 Shirley Ln.,"Medford, NY 11763",631-880-7720,Mon./Weds./Sat. 12pm - 2pm,,,"61 Shirley Ln., Medford, NY 11763",40.8536073,-72.9652953
Grace Care FP,28A Industrial Blvd.,"Medford, NY 11763",631-696-9498,Wednesday 10am - 12pm,,,"28A Industrial Blvd., Medford, NY 11763",40.8097631,-72.9606373
Pathways to Recovery/The Meadows,96 Ohio Ave.,"Medford, NY 11763",631-687-4790,Every 3rd Saturday 9am - 5pm,,,"96 Ohio Ave., Medford, NY 11763",40.8232669,-73.00093
SILO Food Pantry,3253 Route 112,"Medford, NY 11763",631-730-3737,By Appointment ONLY,,,"3253 Route 112, Medford, NY 11763",40.8415816,-72.9966224
St. Sylvester's,99 Robinson Ave.,"Medford, NY 11763",631-475-3871,"Tues./Thurs. 10am - 3pm & Fri.
10am - 12pm",,,"99 Robinson Ave., Medford, NY 11763",40.8190158,-73.0016648
St. Elizabeth's Church,175 Wolf Hill Rd.,"Melville, NY 11743",631-271-4455,x-309,Call First,,"175 Wolf Hill Rd., Melville, NY 11743",40.8118301,-73.3958015
Branches of Long Island,588 Middle Country Rd.,"Middle Island, NY 11953",631-448-7832,By Appointment,,,"588 Middle Country Rd., Middle Island, NY 11953",40.8808945,-72.9521515
Chi/Church Lane,76 Church Ln.,"Middle Island, NY 11953",631-924-2416,"Mon.-Fri. 9am-7pm & Sat./Sun.
10am-7pm",,,"76 Church Ln., Middle Island, NY 11953",40.8821499,-72.9650415
Island Heart Food Pantries,643 Middle Country Rd.,"Middle Island, NY 11953",631-473-5783,Weds. - Fri. 3pm - 5pm,,,"643 Middle Country Rd., Middle Island, NY 11953",40.882954,-72.950101
Middle Island United Church of Christ Community Food Pantry,271 Middle Country Rd.,"Middle Island, NY 11953",631-924-6201,11am-12pm,,,"271 Middle Country Rd., Middle Island, NY 11953",40.8784542,-72.9631962
Column1,Column2,Column3,Column4,Column5,Column6,Column7,"Column2, Column3",,
Montauk Community Food Pantry,67 South Essex St.,"Montauk, NY 11954",631-668-2200,6pm,,,"67 South Essex St., Montauk, NY 11954",41.0356301,-71.9413844
New Birth Christian Church,400B Wyandanch Ave.,"North Babylon, NY 11703",516-996-2023,Sunday 2pm - 6pm,,,"400B Wyandanch Ave., North Babylon, NY 11703",40.7412592,-73.3484875
North Babylon Food Pantry @ St. Paul's Church,158 Phelps Ln.,"North Babylon, NY 11703",631-661-5562,Tues. 12pm-2m / Thurs. 1pm-3pm / Sat. 10am-1pm,,,"158 Phelps Ln., North Babylon, NY 11703",40.7239177,-73.3305998
